joke_id,joke,cleanedText1,cleanedText2,cleanedText3,pos_tags,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRT,PRON,VERB,PUNC,OTHERS,cleanedText4,cluster,sorted_topics,main_topic
1,"  
A man visits the doctor. The doctor says ""I have bad news for you.You have
cancer and Alzheimer's disease"".

The man replies ""Well,thank God I don't have cancer!""

",a man visits the doctor the doctor says i have bad news for you you have cancer and alzheimer s disease the man replies well thank god i don t have cancer,man visits doctor doctor says bad news cancer alzheimer disease man replies well thank god cancer,man visit doctor doctor say bad news cancer alzheimer disease man reply well thank god cancer,"[('man', 'NOUN'), ('visits', 'NOUN'), ('doctor', 'VERB'), ('doctor', 'NOUN'), ('says', 'VERB'), ('bad', 'ADJ'), ('news', 'NOUN'), ('cancer', 'NOUN'), ('alzheimer', 'NOUN'), ('disease', 'NOUN'), ('man', 'NOUN'), ('replies', 'VERB'), ('well', 'ADV'), ('thank', 'ADJ'), ('god', 'NOUN'), ('cancer', 'NOUN')]","['bad', 'thank']",[],['well'],[],[],"['man', 'visits', 'doctor', 'news', 'cancer', 'alzheimer', 'disease', 'man', 'god', 'cancer']",[],[],[],"['doctor', 'says', 'replies']",[],[],man visits doctor doctor says news cancer alzheimer disease man replies god cancer,"[(0, 0.002828441), (1, 0.0024506196), (2, 0.0028985552), (3, 0.0015991463), (4, 0.00226815), (5, 0.0021545703), (6, 0.0033219575), (7, 0.0025905808), (8, 0.0027997724), (9, 0.9770882)]","[(9, 0.9770882), (6, 0.0033219575), (2, 0.0028985552), (0, 0.002828441), (8, 0.0027997724), (7, 0.0025905808), (1, 0.0024506196), (4, 0.00226815), (5, 0.0021545703), (3, 0.0015991463)]",9
10,"|  

  
Two cannibals are eating a clown, one turns to other and says:

""Does this taste funny to you?

  
---|---

",two cannibals are eating a clown one turns to other and says does this taste funny to you,two cannibals eating clown one turns says taste funny,two cannibal eating clown one turn say taste funny,"[('two', 'NUM'), ('cannibals', 'NOUN'), ('eating', 'VERB'), ('clown', 'ADJ'), ('one', 'NUM'), ('turns', 'VERB'), ('says', 'VERB'), ('taste', 'NOUN'), ('funny', 'NOUN')]",['clown'],[],[],[],[],"['cannibals', 'taste', 'funny']","['two', 'one']",[],[],"['eating', 'turns', 'says']",[],[],cannibals eating turns says taste funny,"[(0, 0.005954403), (1, 0.0051590176), (2, 0.006102007), (3, 0.003366505), (4, 0.0047748843), (5, 0.0045357775), (6, 0.0069933482), (7, 0.005453662), (8, 0.95312816), (9, 0.0045322403)]","[(8, 0.95312816), (6, 0.0069933482), (2, 0.006102007), (0, 0.005954403), (7, 0.005453662), (1, 0.0051590176), (4, 0.0047748843), (5, 0.0045357775), (9, 0.0045322403), (3, 0.003366505)]",8
100,"  
  
Q: Whats the difference between greeting a Queen and greeting the President of
the United States?

A: You only have to get on _one knee_ to greet the queen.  
---

",q whats the difference between greeting a queen and greeting the president of the united states a you only have to get on _one knee_ to greet the queen,q whats difference greeting queen greeting president united states get _one knee_ greet queen,q whats difference greeting queen greeting president united state get _one knee_ greet queen,"[('q', 'NOUN'), ('whats', 'NOUN'), ('difference', 'NOUN'), ('greeting', 'VERB'), ('queen', 'ADJ'), ('greeting', 'VERB'), ('president', 'NOUN'), ('united', 'ADJ'), ('states', 'NOUN'), ('get', 'VERB'), ('_one', 'ADJ'), ('knee_', 'NOUN'), ('greet', 'NOUN'), ('queen', 'NOUN')]","['queen', 'united', '_one']",[],[],[],[],"['q', 'whats', 'difference', 'president', 'states', 'knee_', 'greet', 'queen']",[],[],[],"['greeting', 'greeting', 'get']",[],[],whats difference greeting greeting president states get knee_ greet queen,"[(0, 0.0036496425), (1, 0.0031621254), (2, 0.0037401132), (3, 0.0020634376), (4, 0.002926678), (5, 0.0027801218), (6, 0.0042864447), (7, 0.0033427223), (8, 0.97127074), (9, 0.0027779536)]","[(8, 0.97127074), (6, 0.0042864447), (2, 0.0037401132), (0, 0.0036496425), (7, 0.0033427223), (1, 0.0031621254), (4, 0.002926678), (5, 0.0027801218), (9, 0.0027779536), (3, 0.0020634376)]",8
11,"|  

  
Q. What do a hurricane, a tornado, and a redneck divorce all have in common?

A. Someone's going to lose their trailer...  
  
---|---

",q what do a hurricane a tornado and a redneck divorce all have in common a someone s going to lose their trailer,q hurricane tornado redneck divorce common someone going lose trailer,q hurricane tornado redneck divorce common someone going lose trailer,"[('q', 'ADV'), ('hurricane', 'NOUN'), ('tornado', 'NOUN'), ('redneck', 'NOUN'), ('divorce', 'NOUN'), ('common', 'ADJ'), ('someone', 'NOUN'), ('going', 'VERB'), ('lose', 'ADJ'), ('trailer', 'NOUN')]","['common', 'lose']",[],['q'],[],[],"['hurricane', 'tornado', 'redneck', 'divorce', 'someone', 'trailer']",[],[],[],['going'],[],[],hurricane tornado redneck divorce someone going trailer,"[(0, 0.005142558), (1, 0.004455618), (2, 0.0052700364), (3, 0.0029075032), (4, 0.0041238586), (5, 0.0039173528), (6, 0.006039849), (7, 0.95913845), (8, 0.0050904336), (9, 0.0039142976)]","[(7, 0.95913845), (6, 0.006039849), (2, 0.0052700364), (0, 0.005142558), (8, 0.0050904336), (1, 0.004455618), (4, 0.0041238586), (5, 0.0039173528), (9, 0.0039142976), (3, 0.0029075032)]",7
12,"|  

  
A guy stood over his tee shot for what seemed an eternity, looking up, looking
down, measuring the distance, figuring the wind direction and speed. Driving
his partner nuts.

Finally his exasperated partner says, ""What the hell is taking so long? Hit
the goddamn ball!"" The guy answers, ""My wife is up there watching me from the
clubhouse. I want to make this a perfect shot."" ""Well, hell, man, you don't
stand a snowball's chance in hell of hitting her from here!""  
---|---

",a guy stood over his tee shot for what seemed an eternity looking up looking down measuring the distance figuring the wind direction and speed driving his partner nuts finally his exasperated partner says what the hell is taking so long hit the goddamn ball the guy answers my wife is up there watching me from the clubhouse i want to make this a perfect shot well hell man you don t stand a snowball s chance in hell of hitting her from here,guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nuts finally exasperated partner says hell taking long hit goddamn ball guy answers wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nut finally exasperated partner say hell taking long hit goddamn ball guy answer wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,"[('guy', 'NOUN'), ('stood', 'VERB'), ('tee', 'NOUN'), ('shot', 'NOUN'), ('seemed', 'VERB'), ('eternity', 'NOUN'), ('looking', 'VERB'), ('looking', 'VERB'), ('measuring', 'VERB'), ('distance', 'NOUN'), ('figuring', 'VERB'), ('wind', 'ADJ'), ('direction', 'NOUN'), ('speed', 'NOUN'), ('driving', 'VERB'), ('partner', 'NOUN'), ('nuts', 'NOUN'), ('finally', 'ADV'), ('exasperated', 'VERB'), ('partner', 'NOUN'), ('says', 'VERB'), ('hell', 'NOUN'), ('taking', 'VERB'), ('long', 'ADJ'), ('hit', 'NOUN'), ('goddamn', 'NOUN'), ('ball', 'NOUN'), ('guy', 'NOUN'), ('answers', 'NOUN'), ('wife', 'NOUN'), ('watching', 'VERB'), ('clubhouse', 'NOUN'), ('want', 'VERB'), ('make', 'NOUN'), ('perfect', 'NOUN'), ('shot', 'NOUN'), ('well', 'ADV'), ('hell', 'ADV'), ('man', 'NOUN'), ('stand', 'VERB'), ('snowball', 'ADJ'), ('chance', 'NOUN'), ('hell', 'NOUN'), ('hitting', 'VERB')]","['wind', 'long', 'snowball']",[],"['finally', 'well', 'hell']",[],[],"['guy', 'tee', 'shot', 'eternity', 'distance', 'direction', 'speed', 'partner', 'nuts', 'partner', 'hell', 'hit', 'goddamn', 'ball', 'guy', 'answers', 'wife', 'clubhouse', 'make', 'perfect', 'shot', 'man', 'chance', 'hell']",[],[],[],"['stood', 'seemed', 'looking', 'looking', 'measuring', 'figuring', 'driving', 'exasperated', 'says', 'taking', 'watching', 'want', 'stand', 'hitting']",[],[],guy stood tee shot seemed eternity looking looking measuring distance figuring direction speed driving partner nuts exasperated partner says hell taking hit goddamn ball guy answers wife watching clubhouse want make perfect shot man stand chance hell hitting,"[(0, 0.99226505), (1, 0.00085245795), (2, 0.0010082742), (3, 0.0005562695), (4, 0.0007889851), (5, 0.00074947596), (6, 0.0011555563), (7, 0.000901144), (8, 0.0009739122), (9, 0.00074889144)]","[(0, 0.99226505), (6, 0.0011555563), (2, 0.0010082742), (8, 0.0009739122), (7, 0.000901144), (1, 0.00085245795), (4, 0.0007889851), (5, 0.00074947596), (9, 0.00074889144), (3, 0.0005562695)]",0
13,"|  

  
They asked the Japanese visitor if they have elections in his country.  
  
""Every Morning"" he answers.

  
---|---

",they asked the japanese visitor if they have elections in his country every morning he answers,asked japanese visitor elections country every morning answers,asked japanese visitor election country every morning answer,"[('asked', 'VERB'), ('japanese', 'ADJ'), ('visitor', 'NOUN'), ('elections', 'NOUN'), ('country', 'NOUN'), ('every', 'DET'), ('morning', 'NOUN'), ('answers', 'NOUN')]",['japanese'],[],[],[],['every'],"['visitor', 'elections', 'country', 'morning', 'answers']",[],[],[],['asked'],[],[],asked visitor elections country morning answers,"[(0, 0.9531888), (1, 0.0051589897), (2, 0.0061019734), (3, 0.0033664866), (4, 0.0047748582), (5, 0.004535753), (6, 0.00699331), (7, 0.0054536327), (8, 0.0058940183), (9, 0.0045322157)]","[(0, 0.9531888), (6, 0.00699331), (2, 0.0061019734), (8, 0.0058940183), (7, 0.0054536327), (1, 0.0051589897), (4, 0.0047748582), (5, 0.004535753), (9, 0.0045322157), (3, 0.0033664866)]",0
14,"|  

  
The father was very anxious to marry off his only daughter so he wanted to
impress her date. ""Do you like to screw,"" he says. ""Huh"" replied the surprised
first date. ""My daughter she loves to screw and she's good at it, you and her
should go screw,"" carefully explained the father. Now very interested the boy
replied, ""Yes, sir."" Minutes later the girl came down the stairs, kissed her
father goodbye and the couple left. After only a few minutes she reappeared,
furious, dress torn, hair a mess and screamed ""Dammit, Daddy, it's the TWIST,
get it straight!""  
  
---|---

",the father was very anxious to marry off his only daughter so he wanted to impress her date do you like to screw he says huh replied the surprised first date my daughter she loves to screw and she s good at it you and her should go screw carefully explained the father now very interested the boy replied yes sir minutes later the girl came down the stairs kissed her father goodbye and the couple left after only a few minutes she reappeared furious dress torn hair a mess and screamed dammit daddy it s the twist get it straight,father anxious marry daughter wanted impress date like screw says huh replied surprised first date daughter loves screw good go screw carefully explained father interested boy replied yes sir minutes later girl came stairs kissed father goodbye couple left minutes reappeared furious dress torn hair mess screamed dammit daddy twist get straight,father anxious marry daughter wanted impress date like screw say huh replied surprised first date daughter love screw good go screw carefully explained father interested boy replied yes sir minute later girl came stair kissed father goodbye couple left minute reappeared furious dress torn hair mess screamed dammit daddy twist get straight,"[('father', 'ADV'), ('anxious', 'ADJ'), ('marry', 'NOUN'), ('daughter', 'NOUN'), ('wanted', 'VERB'), ('impress', 'ADJ'), ('date', 'NOUN'), ('like', 'ADP'), ('screw', 'NOUN'), ('says', 'VERB'), ('huh', 'NOUN'), ('replied', 'VERB'), ('surprised', 'ADJ'), ('first', 'ADJ'), ('date', 'NOUN'), ('daughter', 'NOUN'), ('loves', 'VERB'), ('screw', 'ADV'), ('good', 'ADJ'), ('go', 'NOUN'), ('screw', 'VERB'), ('carefully', 'ADV'), ('explained', 'VERB'), ('father', 'ADV'), ('interested', 'ADJ'), ('boy', 'NOUN'), ('replied', 'VERB'), ('yes', 'X'), ('sir', 'NOUN'), ('minutes', 'NOUN'), ('later', 'ADV'), ('girl', 'VERB'), ('came', 'VERB'), ('stairs', 'NOUN'), ('kissed', 'VERB'), ('father', 'ADV'), ('goodbye', 'ADJ'), ('couple', 'NOUN'), ('left', 'VERB'), ('minutes', 'NOUN'), ('reappeared', 'VERB'), ('furious', 'ADJ'), ('dress', 'NOUN'), ('torn', 'ADJ'), ('hair', 'NOUN'), ('mess', 'NOUN'), ('screamed', 'VERB'), ('dammit', 'NOUN'), ('daddy', 'NOUN'), ('twist', 'NOUN'), ('get', 'NOUN'), ('straight', 'VERB')]","['anxious', 'impress', 'surprised', 'first', 'good', 'interested', 'goodbye', 'furious', 'torn']",['like'],"['father', 'screw', 'carefully', 'father', 'later', 'father']",[],[],"['marry', 'daughter', 'date', 'screw', 'huh', 'date', 'daughter', 'go', 'boy', 'sir', 'minutes', 'stairs', 'couple', 'minutes', 'dress', 'hair', 'mess', 'dammit', 'daddy', 'twist', 'get']",[],[],[],"['wanted', 'says', 'replied', 'loves', 'screw', 'explained', 'replied', 'girl', 'came', 'kissed', 'left', 'reappeared', 'screamed', 'straight']",[],['yes'],marry daughter wanted date screw says huh replied date daughter loves go screw explained boy replied sir minutes girl came stairs kissed couple left minutes reappeared dress hair mess screamed dammit daddy twist get straight,"[(0, 0.0010674116), (1, 0.0009248274), (2, 0.0010938717), (3, 0.000603494), (4, 0.99139696), (5, 0.00081310276), (6, 0.0012536574), (7, 0.0009776467), (8, 0.0010565926), (9, 0.00081246864)]","[(4, 0.99139696), (6, 0.0012536574), (2, 0.0010938717), (0, 0.0010674116), (8, 0.0010565926), (7, 0.0009776467), (1, 0.0009248274), (5, 0.00081310276), (9, 0.00081246864), (3, 0.000603494)]",4
15,"|  

  
Q: What did the blind person say when given some matzah?  
  
A: Who the hell wrote this?

  
  
---|---

",q what did the blind person say when given some matzah a who the hell wrote this,q blind person say given matzah hell wrote,q blind person say given matzah hell wrote,"[('q', 'NOUN'), ('blind', 'ADP'), ('person', 'NOUN'), ('say', 'VERB'), ('given', 'VERB'), ('matzah', 'NOUN'), ('hell', 'VERB'), ('wrote', 'VERB')]",[],['blind'],[],[],[],"['q', 'person', 'matzah']",[],[],[],"['say', 'given', 'hell', 'wrote']",[],[],person say given matzah hell wrote,"[(0, 0.005954481), (1, 0.005159085), (2, 0.0061020865), (3, 0.003366549), (4, 0.0047749467), (5, 0.004535837), (6, 0.95422685), (7, 0.0054537337), (8, 0.0058941273), (9, 0.0045322995)]","[(6, 0.95422685), (2, 0.0061020865), (0, 0.005954481), (8, 0.0058941273), (7, 0.0054537337), (1, 0.005159085), (4, 0.0047749467), (5, 0.004535837), (9, 0.0045322995), (3, 0.003366549)]",6
16,"|  

  
Q. What is orange and sounds like a parrot?  
  
A. A carrot.

  
  
---|---

",q what is orange and sounds like a parrot a a carrot,q orange sounds like parrot carrot,q orange sound like parrot carrot,"[('q', 'ADJ'), ('orange', 'NOUN'), ('sounds', 'NOUN'), ('like', 'ADP'), ('parrot', 'NOUN'), ('carrot', 'NOUN')]",['q'],['like'],[],[],[],"['orange', 'sounds', 'parrot', 'carrot']",[],[],[],[],[],[],orange sounds parrot carrot,"[(0, 0.008702086), (1, 0.0075396663), (2, 0.008917802), (3, 0.004919992), (4, 0.92986333), (5, 0.00662883), (6, 0.010220456), (7, 0.007970276), (8, 0.008613883), (9, 0.00662366)]","[(4, 0.92986333), (6, 0.010220456), (2, 0.008917802), (0, 0.008702086), (8, 0.008613883), (7, 0.007970276), (1, 0.0075396663), (5, 0.00662883), (9, 0.00662366), (3, 0.004919992)]",4
17,"|  

  
How many men does it take to screw in a light bulb?

One...men will screw anything.  
---|---

",how many men does it take to screw in a light bulb one men will screw anything,many men take screw light bulb one men screw anything,many men take screw light bulb one men screw anything,"[('many', 'ADJ'), ('men', 'NOUN'), ('take', 'VERB'), ('screw', 'NOUN'), ('light', 'NOUN'), ('bulb', 'VERB'), ('one', 'NUM'), ('men', 'NOUN'), ('screw', 'VERB'), ('anything', 'NOUN')]",['many'],[],[],[],[],"['men', 'screw', 'light', 'men', 'anything']",['one'],[],[],"['take', 'bulb', 'screw']",[],[],men take screw light bulb men screw anything,"[(0, 0.004525384), (1, 0.0039208857), (2, 0.0046375636), (3, 0.002558565), (4, 0.0036289422), (5, 0.0034472195), (6, 0.0053149885), (7, 0.9640424), (8, 0.0044795154), (9, 0.003444531)]","[(7, 0.9640424), (6, 0.0053149885), (2, 0.0046375636), (0, 0.004525384), (8, 0.0044795154), (1, 0.0039208857), (4, 0.0036289422), (5, 0.0034472195), (9, 0.003444531), (3, 0.002558565)]",7
